Production_Budget_In_USD,Worldwide_Gross_In_USD
400000000.00,2797800564.00
379000000.00,1045713802.00
365000000.00,1395316979.00
306000000.00,2065478084.00
300000000.00,2044540523.00
300000000.00,960996492.00
300000000.00,655945209.00
300000000.00,879500760.00
275000000.00,1072944222.00
275000000.00,393151347.00
263700000.00,282778100.00
263000000.00,872395091.00
260000000.00,1654381934.00
260000000.00,585574317.00
258000000.00,894860230.00
250000000.00,1151918521.00
250000000.00,930673167.00
250000000.00,960238087.00
250000000.00,943328905.00
250000000.00,1236703796.00
237000000.00,2801823640.00
232000000.00,391081192.00
230000000.00,1082228107.00
230000000.00,794861794.00
230000000.00,591692078.00
225000000.00,1515100211.00
225000000.00,1066179725.00
225000000.00,667999518.00
225000000.00,417341288.00
225000000.00,260002115.00
220000000.00,757890267.00
220000000.00,313477717.00
217000000.00,602893340.00
215000000.00,1669979967.00
215000000.00,654213485.00
210000000.00,836519699.00
210000000.00,1104054072.00
210000000.00,459260946.00
210000000.00,322459006.00
207000000.00,550517357.00
205000000.00,367262558.00
205000000.00,362688510.00
200000000.00,1336494321.00
200000000.00,2207986545.00
200000000.00,1332539889.00
200000000.00,1242805359.00
200000000.00,1055135598.00
200000000.00,1025006125.00
200000000.00,1073080329.00
200000000.00,1068879522.00
200000000.00,1215392272.00
200000000.00,869113101.00
200000000.00,794697557.00
200000000.00,1025491110.00
200000000.00,1110526981.00
200000000.00,1017003568.00
200000000.00,743455810.00
200000000.00,490359051.00
200000000.00,747862775.00
200000000.00,708996336.00
200000000.00,560155383.00
200000000.00,759626561.00
200000000.00,399866199.00
200000000.00,757677748.00
200000000.00,651280475.00
200000000.00,365491792.00
200000000.00,219535492.00
200000000.00,336359676.00
200000000.00,246356895.00
200000000.00,127912438.00
200000000.00,165777866.00
195000000.00,1123794079.00
195000000.00,409953905.00
195000000.00,197687603.00
190000000.00,1517179709.00
190000000.00,467381584.00
190000000.00,531514650.00
190000000.00,353640419.00
190000000.00,315709697.00
190000000.00,411002906.00
187500000.00,333771037.00
186000000.00,585171547.00
185000000.00,999046281.00
185000000.00,786635413.00
185000000.00,554606532.00
185000000.00,561072059.00
185000000.00,335673708.00
185000000.00,489346495.00
185000000.00,259365343.00
185000000.00,250372367.00
182000000.00,1046759512.00
180000000.00,850482778.00
180000000.00,720539572.00
180000000.00,758536735.00
180000000.00,811724385.00
180000000.00,532508025.00
180000000.00,256585882.00
180000000.00,348902025.00
180000000.00,180047784.00
180000000.00,215098356.00
179000000.00,181982519.00
178000000.00,787176729.00
178000000.00,542537546.00
178000000.00,527370715.00
178000000.00,367028980.00
175000000.00,1129727388.00
175000000.00,953554418.00
175000000.00,855038387.00
175000000.00,880166350.00
175000000.00,746846894.00
175000000.00,731463377.00
175000000.00,798237597.00
175000000.00,529290830.00
175000000.00,381687380.00
175000000.00,383541369.00
175000000.00,302469017.00
175000000.00,221229335.00
175000000.00,405760225.00
175000000.00,174131329.00
175000000.00,264246220.00
175000000.00,251402490.00
175000000.00,139630336.00
175000000.00,151716815.00
170000000.00,1308334005.00
170000000.00,770882395.00
170000000.00,621156389.00
170000000.00,714401889.00
170000000.00,710644566.00
170000000.00,312719437.00
170000000.00,401021746.00
170000000.00,433058296.00
170000000.00,300150546.00
170000000.00,353166307.00
170000000.00,383299915.00
170000000.00,206627518.00
170000000.00,401900040.00
170000000.00,276928112.00
165000000.00,756244673.00
165000000.00,676354481.00
165000000.00,649683252.00
165000000.00,494870992.00
165000000.00,496511521.00
165000000.00,652190396.00
165000000.00,384169424.00
163000000.00,176038324.00
160000000.00,1255080655.00
160000000.00,1131219645.00
160000000.00,1143758700.00
160000000.00,807330936.00
160000000.00,728582465.00
160000000.00,648986787.00
160000000.00,789300444.00
160000000.00,529076069.00
